IslandID,Island Size,Terrain Type,Vegetation Type,Distance from Mainland,Avg Temperature,Avg Humidity,Flora and Fauna Changes,Growth Patterns,Unexplain Sounds Count,Visual Anomalies,pH Change,Type
712,333.0600057937538,Forested,Mixed Forests,500.93940618996976,2.126073655614797,72.82834173417959,No Effect,Normal,High,Occasional,0.1462543637226898,Sasquatch
1727,326.7452757695504,,Mangroves,,31.9514213460648,79.77192651162197,Increasing,Normal,Moderate,None,0.1497029145244055,Ropen
1359,,Forested,Coniferous Forests,197.2424702259058,12.5645171221148,79.80109380604016,Decreasing,Normal,None,Frequent,-0.2029829480880779,Wendigo
591,63.47452383007547,Mountainous,Mixed Forests,333.86290197988205,18.202614973312848,47.98215477131272,No Effect,Normal,High,Frequent,0.1106383048922647,Chupacabra
724,339.4109401300532,Forested,Coniferous Forests,411.0140129326701,-3.367113409332765,78.07561937768082,Increasing,Normal,Low,Occasional,0.1573014737790353,Sasquatch
619,28.821365125748663,Urban settlements,Grasslands,260.01700604216626,29.35878168818332,65.83399489086342,Decreasing,Normal,High,Frequent,,Banshee
948,57.53351406317968,Desert,Desert Vegetation,487.5806615738645,22.82372843551132,28.235796111703426,Decreasing,Abnormal,Low,Occasional,0.0819862805134852,Chupacabra
898,29.41513226663756,Plains,Grasslands,,17.788466105158918,77.41539991352025,Decreasing,Normal,Moderate,Frequent,-0.2010938605815611,Banshee
1506,194.853389639882,Swamp,Deciduous Forests,195.60765169301888,17.151282987477092,,Decreasing,Abnormal,High,Occasional,-0.844169321318218,Wendigo
327,117.26555866658722,Desert,Desert Vegetation,,9.19740338186156,34.57326499346781,No Effect,Normal,Low,None,0.0723151925188264,Chupacabra
813,224.55951096104744,Mountainous,Coniferous Forests,235.0526827772388,-0.4788832082430805,63.70833561215497,No Effect,Normal,Low,Occasional,0.0283887986385328,Yeti
1228,160.99379168814238,Mountainous,Tundra Vegetation,353.3799946782767,-3.665269342452248,66.33231336336443,Decreasing,Abnormal,High,None,-0.8658357195384895,Wendigo
887,175.6386519061368,Desert,Desert Vegetation,,31.768690183221945,7.552386134879127,Decreasing,Abnormal,Moderate,Frequent,0.0051990850562691,Chupacabra
